title,herb,shrb,smll_tree,lrg_tree,habitat_complexity,ndvi,connected_greenspace_point6_area,connected_greenspace_point8_area,connected_tree_5m_area,days_into_survey,year,hour_of_day,survey_square,land_use
393 3,0.436,0.043,0.06,0.14,0.82,0.68,0.1,0,0.01,16,2024,18,393,Public cemetery
680 7,0.313,0.125,0.062,0.085,0.86,0.64,0.07,0,0,16,2024,17,680,Public residential
680 5,0.267,0.131,0.12,0.213,0.98,0.83,0.07,0.01,0.06,16,2024,17,680,Non-protected woodland
680 3,0.566,0.052,0.07,0.171,0.78,0.74,0.07,0.03,0.01,16,2024,17,680,Public park
584 11,0.233,0.057,0.056,0.166,0.82,0.65,0,0,0,16,2024,16,584,Other
551 8,0.409,0.112,0.057,0.152,0.89,0.65,0,0,0.01,16,2024,16,551,Other
612 6,0.268,0.139,0.118,0.088,0.92,0.49,0,0,0,16,2024,16,612,Public residential
612 2,0.604,0.12,0.095,0.114,0.76,0.75,0,0,0.01,16,2024,15,612,Other
612 5,0.307,0.09,0.126,0.267,0.95,0.77,0.07,0.1,0.43,16,2024,15,612,Public cemetery
612 8,0.37,0.095,0.086,0.234,0.92,0.71,0.07,0.1,0.04,16,2024,15,612,Private residential
612 7,0.443,0.143,0.089,0.136,0.9,0.72,0.07,0.1,0.04,16,2024,15,612,Other
612 4,0.313,0.104,0.145,0.354,0.91,0.83,0.07,0.1,0.04,16,2024,14,612,Other
612 3,0.207,0.041,0.043,0.194,0.79,0.64,0.07,0,0.74,16,2024,14,612,Public park
136 7,0.638,0.022,0.028,0.052,0.61,0.62,0,0,0,9,2024,16,136,Public cemetery
136 6,0.669,0.06,0.023,0.014,0.58,0.61,0,0,0,9,2024,16,136,Public park
136 4,0.45,0.122,0.111,0.102,0.89,0.65,0,0,0,9,2024,16,136,Public park
233 11,0.243,0.076,0.096,0.066,0.81,0.56,0,0,0,9,2024,16,233,Public residential
295 4,0.292,0.127,0.16,0.274,0.97,0.74,0.1,1,0.09,9,2024,15,295,Public residential
295 6,0.444,0.124,0.192,0.236,0.82,0.86,0.1,1,0.41,9,2024,15,295,Nature reserve
295 1,0.396,0.135,0.185,0.229,0.91,0.87,0.1,1,0.42,9,2024,15,295,Nature reserve
231 3,0.336,0.042,0.087,0.145,0.85,0.61,0.1,0,0,9,2024,14,231,Other
231 7,0.364,0.112,0.138,0.171,0.95,0.79,0.1,1,0.03,9,2024,14,231,Nature reserve
231 2,0.153,0.078,0.123,0.248,0.91,0.64,0.1,1,0,9,2024,14,231,Other
231 8,0.25,0.099,0.186,0.439,0.84,0.89,0.1,1,0.04,9,2024,14,231,Nature reserve
231 12,0.421,0.123,0.143,0.13,0.93,0.75,0.1,1,0.03,9,2024,14,231,Nature reserve
